日	A	日曰
竹廿一	HTM	䇞
竹廿一金	HTMC	箕簧
竹廿一火	HTMF	衃
竹廿一人	HTMO	篏
竹廿弓土	HTNG	衄
竹廿弓竹難	HTNHX	䘓
竹廿弓中	HTNL	䘏
竹廿弓人	HTNO	欰
竹廿人水	HTOE	籆
竹廿人竹人	HTOHO	衆
竹廿尸竹金	HTSHC	䘐
竹廿尸竹戈	HTSHI	衂
竹廿尸十	HTSJ	衈
竹廿尸中	HTSL	卹
竹廿廿	HTT	䈂
竹廿廿月	HTTB	篝
竹廿廿田戈	HTTWI	衊
竹廿女戈	HTVI	䈘
竹廿女弓	HTVN	䉇
竹廿田	HTW	筁
竹廿難金	HTXC	䈴
竹山	HU	屲
竹山日	HUA	㬱
竹山日一	HUAM	曁
竹山日尸一	HUASM	㲩
竹山月人	HUBO	赞
竹山月山金	HUBUC	贊
竹山月山山	HUBUU	覒
竹山金水	HUCE	䈦
竹山木	HUD	臬
竹山木一	HUDM	𦤎
竹山水	HUE	㲑
竹山水戈戈	HUEII	㲧
竹山火	HUF	毜𤆬熈
竹山火木	HUFD	毩
竹山火火	HUFF	毯
竹山土	HUG	墍
竹山竹日火	HUHAF	鵚鶂鶞鷉
竹山竹土山	HUHGU	兟毨
竹山竹竹竹	HUHHH	毝
竹山竹人弓	HUHON	𠒣
竹山竹人口	HUHOR	㲮
竹山竹手山	HUHQU	㲎
竹山竹山木	HUHUD	㯔
竹山竹山火	HUHUF	䄟
竹山竹山心	HUHUP	㦌
竹山竹山山	HUHUU	毳
竹山戈竹戈	HUIHI	㲓
竹山戈竹手	HUIHQ	毪
竹山戈十	HUIJ	毧
竹山戈十水	HUIJE	毬
竹山戈大	HUIK	臭
竹山戈大竹	HUIKH	毶
竹山戈大大	HUIKK	瞂
竹山戈人十	HUIOJ	臯
竹山十金尸	HUJCS	臱
竹山大手	HUKQ	𦤑
竹山中一金	HULMC	穨
竹山中一卜	HULMY	毴
竹山中弓	HULN	𠜎
竹山一月	HUMB	篅
竹山一月金	HUMBC	䫁頹䫢
竹山一金田	HUMCW	毢
竹山一一山	HUMMU	𠒑
竹山一弓心	HUMNP	臰
竹山弓水	HUNE	䈄
竹山弓竹尸	HUNHS	㲌
竹山弓大手	HUNKQ	毽
竹山弓中	HUNL	𠒒郋䢾郳
竹山弓人	HUNO	㰫歋
竹山弓田日	HUNWA	氌
竹山人土	HUOG	㲝
竹山人戈弓	HUOIN	㲐
竹山人大	HUOK	㪇
竹山人一弓	HUOMN	毺
竹山人人人	HUOOO	臮
竹山心	HUP	息憩
竹山心日	HUPA	毥
竹山心火木	HUPFD	毱
竹山心口山	HUPRU	𣭚
竹山廿日大	HUTAK	氁
竹山廿金日	HUTCA	氆
竹山山	HUU	嵆
竹山女	HUV	㛷
竹山女女女	HUVVV	㲱
竹山田一中	HUWML	鼻
竹山田心	HUWP	毸
竹山卜水	HUYE	㪒
竹山卜戈山	HUYIU	㲙
竹山卜十	HUYJ	𣁽
竹山卜一口	HUYMR	諬
竹山卜口	HUYR	毡
竹山卜廿十	HUYTJ	辠
竹山卜廿口	HUYTR	毰
竹山卜田一	HUYWM	氊
竹女	HV	𧘇
竹女日十女	HVAJV	鼹
竹女日山	HVAU	䉋
竹女月十十	HVBJJ	鼲
竹女月山	HVBU	覣
竹女月山金	HVBUC	鼰
竹女月山大	HVBUK	鼳
竹女月山山	HVBUU	覛
竹女月女大	HVBVK	鼷
竹女金尸竹	HVCSH	鼢
竹女木	HVD	乐
竹女木中	HVDL	簖
竹女水	HVE	笯
竹女火月	HVFB	䈫
竹女火戈	HVFI	箹䈙
竹女火卜	HVFY	䈺
竹女土木戈	HVGDI	鼭
竹女竹水口	HVHER	䶅
竹女竹水卜	HVHEY	鼨
竹女竹竹田	HVHHW	䶉
竹女竹戈	HVHI	魏
竹女竹手一	HVHQM	鼪
竹女竹山	HVHU	兜
竹女竹卜山	HVHYU	鼶
竹女戈月戈	HVIBI	䶈
竹女戈火	HVIF	系
竹女戈大	HVIK	鼣
竹女戈大大	HVIKK	鼥
竹女戈中	HVIL	籪
竹女戈人	HVIO	瓜
竹女十金大	HVJCK	鼵
竹女十心	HVJP	鼧
竹女中田	HVLW	鼬
竹女中田月	HVLWB	䶇
竹女一月金	HVMBC	䫋
竹女一火十	HVMFJ	䶄
竹女一戈	HVMI	䉃
竹女一一口	HVMMR	鼯
竹女一口	HVMR	鼫
竹女一女弓	HVMVN	瑏
竹女弓大土	HVNKG	鼮
竹女弓人	HVNO	篆
竹女人土	HVOG	䶆
竹女人戈弓	HVOIN	䶃
竹女心	HVP	氏
竹女心戈	HVPI	䶂
竹女心口	HVPR	鼩
竹女手一月	HVQMB	鼱
竹女口	HVR	筎
竹女尸日女	HVSAV	鼴
竹女尸竹口	HVSHR	鼦
竹女尸中	HVSL	卬
竹女尸一	HVSM	鸟
竹女廿難金	HVTXC	鼸
竹女女女	HVVV	䉭
竹女田田田	HVWWW	鼺
竹女卜大	HVYK	鼤
竹田	HW	甶
竹田水	HWE	笝
竹田土廿戈	HWGTI	睾
竹田竹日火	HWHAF	鶹鷭
竹田竹木	HWHD	箘
竹田竹山	HWHU	𠒇
竹田戈一	HWIM	簂
竹田十口	HWJR	箇
竹田大	HWK	囟筃
竹田大大	HWKK	囪
竹田大尸	HWKS	勫
竹田中	HWL	笚
竹田中月	HWLB	簚
竹田中金	HWLC	簤
竹田中土	HWLG	籮
竹田中戈	HWLI	篾
竹田中弓	HWLN	箩䉚
竹田一月金	HWMBC	䪿
竹田一中	HWML	箅
竹田一女弓	HWMVN	㽃
竹田一女尸	HWMVS	粵
竹田弓戈	HWNI	䇱
竹田弓大	HWNK	囱
竹田弓中	HWNL	鄱
竹田弓人	HWNO	㰱
竹田弓人人	HWNOO	飜
竹田心	HWP	悤𥯨
竹田心卜一	HWPYM	鹠
竹田尸一一	HWSMM	翻
竹田廿十	HWTJ	篳
竹田女火	HWVF	䉂
竹田田田	HWWW	䉪
竹難	HX	臼𦥑
竹難日一竹	HXAMH	䑗
竹難月金	HXBC	興
竹難月廿	HXBT	盥
竹難火木	HXFD	䊆
竹難竹	HXH	身
竹難竹日火	HXHAF	䳎䳔
竹難竹弓手	HXHNQ	䑕
竹難竹山	HXHU	兒
竹難十月	HXJB	䑔
竹難十金	HXJC	輿
竹難十中人	HXJLO	䑖
竹難大金	HXKC	舆
竹難中月	HXLB	帠
竹難中水	HXLE	叟
竹難一一女	HXMMV	䢅䢉
竹難弓人	HXNO	歃
竹難人	HXO	臾
竹難廿	HXT	舁
竹難廿手一	HXTQM	䑘
竹難女卜女	HXVYV	鼠
竹難田大尸	HXWKS	舅
竹難卜金	HXYC	與
竹難卜火	HXYF	舃舄
竹卜日月	HYAB	䑵
竹卜日月山	HYABU	艒
竹卜日十	HYAJ	䈇
竹卜日尸一	HYASM	䑽
竹卜日山	HYAU	舥
竹卜月月	HYBB	𥰆簻
竹卜月土	HYBG	籬
竹卜月竹山	HYBHU	舰
竹卜月一口	HYBMR	𦨴
竹卜月一田	HYBMW	䒄
竹卜月弓木	HYBND	艀
竹卜月心	HYBP	籠
竹卜月尸	HYBS	篣
竹卜月廿	HYBT	盘
竹卜月山山	HYBUU	䚀
竹卜金戈	HYCI	舩
竹卜金大	HYCK	筊
竹卜金弓竹	HYCNH	䑯
竹卜金口	HYCR	船
竹卜木	HYD	㭧
竹卜木竹水	HYDHE	㿭𦨭
竹卜木人人	HYDOO	𦩑
竹卜水戈	HYEI	䑡
竹卜水一	HYEM	䑭
竹卜火月	HYFB	艄
竹卜火月田	HYFBW	艡
竹卜火手火	HYFQF	䲍
竹卜火手山	HYFQU	䒅
竹卜土	HYG	䇠
竹卜土人田	HYGOW	艢
竹卜竹日	HYHA	舶
竹卜竹日月	HYHAB	艊
竹卜竹日火	HYHAF	䳉鵃
竹卜竹日土	HYHAG	艎
竹卜竹水	HYHE	舨
竹卜竹水十	HYHEJ	艂
竹卜竹水手	HYHEQ	舽
竹卜竹土口	HYHGR	艁
竹卜竹竹竹	HYHHH	䑣
竹卜竹十	HYHJ	篷
竹卜竹中人	HYHLO	艞
竹卜竹一	HYHM	簅
竹卜竹弓	HYHN	笐
竹卜竹弓水	HYHNE	般
竹卜竹弓戈	HYHNI	舤䑺
竹卜竹人戈	HYHOI	䒀
竹卜竹口	HYHR	簉
竹卜竹尸	HYHS	籩舴
竹卜竹尸月	HYHSB	艑
竹卜竹難水	HYHXE	艘
竹卜戈日女	HYIAV	艆
竹卜戈大	HYIK	舣
竹卜戈尸月	HYISB	䑷
竹卜戈廿水	HYITE	艔
竹卜十火水	HYJFE	䑹
竹卜十十	HYJJ	䉸
竹卜十一火	HYJMF	䑸
竹卜十一田	HYJMW	䒇
竹卜十弓山	HYJNU	䑱
竹卜十人日	HYJOA	䑿
竹卜十心	HYJP	舵
竹卜十口	HYJR	䑩
竹卜十廿金	HYJTC	䒈
竹卜大戈	HYKI	舦
竹卜大一尸	HYKMS	舿
竹卜大心月	HYKPB	艜
竹卜大尸	HYKS	笾
竹卜中	HYL	舯
竹卜中一	HYLM	䇛
竹卜中一人	HYLMO	䑬
竹卜中田	HYLW	舳
竹卜中田女	HYLWV	艛
竹卜一	HYM	舡
竹卜一月尸	HYMBS	艝
竹卜一金田	HYMCW	舾
竹卜一中一	HYMLM	𦩒
竹卜一弓口	HYMNR	舸
竹卜一人	HYMO	篴
竹卜一口	HYMR	䇾
竹卜一山	HYMU	䉦䑢
竹卜弓木廿	HYNDT	艋
竹卜弓竹水	HYNHE	䑥
竹卜弓大土	HYNKG	艇
竹卜弓中	HYNL	郍
竹卜弓弓	HYNN	䑠
竹卜弓人廿	HYNOT	艠
竹卜弓口戈	HYNRI	艬
竹卜弓尸木	HYNSD	䑮
竹卜弓田日	HYNWA	艪
竹卜弓難山	HYNXU	䶱
竹卜人木戈	HYODI	䑧
竹卜人水	HYOE	䉨
竹卜人土	HYOG	䧷
竹卜人土水	HYOGE	䑾艭
竹卜人戈戈	HYOII	舲
竹卜人戈弓	HYOIN	䑤
竹卜人戈心	HYOIP	𦨮艌
竹卜人戈口	HYOIR	艙
竹卜人十	HYOJ	箤
竹卜人一月	HYOMB	䑳
竹卜人一木	HYOMD	艅
竹卜人一口	HYOMR	䑪
竹卜人弓人	HYONO	𦩂
竹卜人心木	HYOPD	䑨
竹卜人尸山	HYOSU	舱
竹卜人廿手	HYOTQ	䒉
竹卜心金	HYPC	簴
竹卜心一	HYPM	𥲤
竹卜心心	HYPP	舭
竹卜心口	HYPR	䑦
竹卜心廿	HYPT	籚
竹卜心廿木	HYPTD	艓
竹卜心山	HYPU	虒箎
竹卜心山山	HYPUU	䑼
竹卜心卜一	HYPYM	鸼
竹卜手一月	HYQMB	䑶
竹卜口	HYR	笘
竹卜口日	HYRA	䈞
竹卜口月	HYRB	篙
竹卜口十戈	HYRJI	艥
竹卜口中	HYRL	篰
竹卜口弓	HYRN	籝籯
竹卜口人	HYRO	籇
竹卜口女	HYRV	䉴
竹卜口卜人	HYRYO	䟟
竹卜尸金	HYSC	籏
竹卜尸木	HYSD	箷
竹卜尸竹	HYSH	舠
竹卜尸竹山	HYSHU	艉
竹卜尸戈廿	HYSIT	艦
竹卜尸十口	HYSJR	艍
竹卜尸大	HYSK	簇
竹卜尸一	HYSM	𥰁
竹卜尸一日	HYSMA	䒁
竹卜尸一一	HYSMM	䎇
竹卜尸卜	HYSY	箊
竹卜廿	HYT	笠
竹卜廿月	HYTB	𥴰
竹卜廿月人	HYTBO	艨
竹卜廿金	HYTC	舼
竹卜廿金廿	HYTCT	艗
竹卜廿水	HYTE	䈛
竹卜廿土戈	HYTGI	艤
竹卜廿竹山	HYTHU	艏
竹卜廿十	HYTJ	𥭴
竹卜廿一金	HYTMC	䑴
竹卜廿人水	HYTOE	艧
竹卜廿手一	HYTQM	艖
竹卜廿口	HYTR	箁䈮
竹卜廿廿	HYTT	䑫
竹卜廿山	HYTU	篭
竹卜廿女	HYTV	䈉
竹卜廿田日	HYTWA	艚
竹卜山	HYU	舢
竹卜山月	HYUB	篱
竹卜山金水	HYUCE	艐
竹卜女	HYV	笀
竹卜女一戈	HYVMI	䒂
竹卜女山	HYVU	䈍
竹卜田土	HYWG	艃
竹卜田中	HYWL	舺
竹卜田一	HYWM	䉡
竹卜田女	HYWV	簑
竹卜卜	HYY	笇
竹卜卜日十	HYYAJ	䑲
竹卜卜月大	HYYBK	䒆
竹卜卜月尸	HYYBS	艕
竹卜卜竹弓	HYYHN	航
竹卜卜竹口	HYYHR	䒃
竹卜卜竹尸	HYYHS	舫
竹卜卜戈山	HYYIU	艈
竹卜卜中竹	HYYLH	䑰
竹卜卜人	HYYO	籧
竹卜卜心尸	HYYPS	艣
竹卜卜心廿	HYYPT	艫
竹卜卜尸	HYYS	舻
竹卜卜尸木	HYYSD	䑻
竹卜卜廿土	HYYTG	艟
竹卜卜女戈	HYYVI	舷
竹卜卜難	HYYX	艩
戈	I	戈
戈日戈水	IAIE	廄
戈日戈山	IAIU	廐
戈日一	IAM	㡺
戈日女	IAV	㡾良
戈月	IB	禸䏍
戈月月口	IBBR	㢐
戈月月廿	IBBT	盙
戈月金弓	IBCN	廁
戈月金女	IBCV	廮
戈月木	IBD	㮾
戈月木戈	IBDI	尃
戈月土	IBG	塱
戈月土戈	IBGI	䏻
戈月竹日火	IBHAF	䳌鵏鷛
戈月竹竹竹	IBHHH	㣑
戈月竹手山	IBHQU	㲢
戈月竹女人	IBHVO	㼐
戈月中弓	IBLN	㓲
戈月一	IBM	㡹
戈月弓	IBN	乶
戈月弓中	IBNL	郙鄘
戈月人	IBO	贠
戈月心心	IBPP	能
戈月口心	IBRP	喸
戈月尸竹	IBSH	廫
戈月尸手火	IBSQF	騗
戈月山金	IBUC	貟
戈月卜竹尸	IBYHS	旉
戈金火火	ICFF	𤒼
戈金竹日火	ICHAF	𪇵
戈金竹水	ICHE	夋
戈金戈木	ICID	庺
戈金中弓	ICLN	劆
戈金弓中	ICNL	鄺
戈金弓人	ICNO	廞
戈金心	ICP	怷
戈木	ID	床术
戈木月	IDB	㢀
戈木月月月	IDBBB	䯢
戈木月月口	IDBBR	𪎩
戈木月山	IDBU	廂
戈木火	IDF	𤇍
戈木火木	IDFD	糜
戈木土	IDG	塺
戈木竹日火	IDHAF	䳸
戈木竹木	IDHD	穈
戈木竹木日	IDHDA	黁
戈木竹戈	IDHI	魔麽
戈木竹手	IDHQ	犘
戈木竹手山	IDHQU	麾
戈木十廿金	IDJTC	黂
戈木中一卜	IDLMY	靡
戈木中卜火	IDLYF	爢㸏
戈木一	IDM	㡷
戈木一口	IDMR	磨
戈木人大	IDOK	䵇
戈木人一弓	IDOMN	䵉
戈木人人	IDOO	庲
戈木心	IDP	怸㥻㦄
戈木手	IDQ	摩
戈木口竹口	IDRHR	麿
戈木尸	IDS	书
戈木尸十水	IDSJE	黀
戈木女戈	IDVI	麼
戈木女戈火	IDVIF	縻
戈木卜一口	IDYMR	䜆
戈水	IE	氷
戈水日	IEA	昶
戈水月廿	IEBT	盚
戈水金	IEC	䥭
戈水木竹水	IEDHE	皴
戈水竹日火	IEHAF	鵕
戈水竹竹竹	IEHHH	𢒋
戈水大弓	IEKN	㐜
戈水中弓	IELN	剫
戈水弓日山	IENAU	𠬍
戈水弓中	IENL	䣇
戈水弓人	IENO	㱂
戈水弓山戈	IENUI	㕙
戈水人大	IEOK	救
戈水卜竹女	IEYHV	裘
戈火	IF	厼礻
戈火日日	IFAA	𥚕
戈火日一	IFAM	𥘵
戈火日一竹	IFAMH	禓
戈火日一人	IFAMO	禔
戈火日人金	IFAOC	禵
戈火日尸一	IFASM	禢
戈火月日金	IFBAC	䄙
戈火月月口	IFBBR	禍
戈火月土口	IFBGR	禂
戈火月竹山	IFBHU	视
戈火月十十	IFBJJ	禈
戈火月大	IFBK	廠
戈火月一	IFBM	祖
戈火月一水	IFBME	禐
戈火月人火	IFBOF	䄞
戈火月山山	IFBUU	視
戈火金弓竹	IFCNH	祶
戈火金口山	IFCRU	祱
戈火金田十	IFCWJ	禅
戈火木中金	IFDLC	䄤
戈火木一手	IFDMQ	禕
戈火水	IFE	㵗
戈火水水水	IFEEE	䄌
戈火水田	IFEW	䄕
戈火火大金	IFFKC	禷
戈火火一山	IFFMU	𥙑
戈火土	IFG	社
戈火土金水	IFGCE	祾
戈火土戈	IFGI	祛
戈火土弓戈	IFGNI	禱
戈火土心	IFGP	䄊
戈火土口	IFGR	祮
戈火土口金	IFGRC	𥜝
戈火土口口	IFGRR	禧
戈火土田金	IFGWC	䄣
戈火竹日火	IFHAF	鷓
戈火竹日土	IFHAG	䄓
戈火竹土	IFHG	祍
戈火竹土口	IFHGR	祰
戈火竹竹十	IFHHJ	禆
戈火竹十木	IFHJD	祩
戈火竹十口	IFHJR	䄆
戈火竹大	IFHK	祅
戈火竹中月	IFHLB	䄔
戈火竹一中	IFHML	㫂祈
戈火竹弓	IFHN	凴
戈火竹弓水	IFHNE	祋
戈火竹心日	IFHPA	䄑
戈火竹心一	IFHPM	祗
戈火竹手戈	IFHQI	䄉
戈火竹手人	IFHQO	祑
戈火竹尸	IFHS	祚
戈火竹山金	IFHUC	禶
戈火竹女心	IFHVP	祇
戈火竹卜山	IFHYU	禠
戈火戈	IFI	䄀
戈火戈月戈	IFIBI	禣
戈火戈大大	IFIKK	祓
戈火戈中口	IFILR	禟
戈火戈廿	IFIT	祴
戈火十月金	IFJBC	禛
戈火十月一	IFJBM	禃
戈火十木	IFJD	祙
戈火十水	IFJE	䃽
戈火十大日	IFJKA	禇
戈火十口	IFJR	祜
戈火大水	IFKE	鿆
戈火大中山	IFKLU	䄋
戈火大一口	IFKMR	䄎
戈火大心月	IFKPB	𥛣
戈火大口	IFKR	祐
戈火中	IFL	祌
戈火中月大	IFLBK	䄃
戈火中中女	IFLLV	䄛
戈火中一人	IFLMO	祧
戈火中心月	IFLPB	禙
戈火中心金	IFLPC	𥜥
戈火中田	IFLW	䄂
戈火中田中	IFLWL	神
戈火中難中	IFLXL	䄗
戈火一	IFM	应
戈火一月金	IFMBC	顣
戈火一月中	IFMBL	鿅
戈火一月人	IFMBO	䄥
戈火一火月	IFMFB	禰
戈火一戈土	IFMIG	祬
戈火一大	IFMK	祆
戈火一一女	IFMMV	祳
戈火一口	IFMR	祏
戈火一口廿	IFMRT	䄈
戈火一口田	IFMRW	福
戈火一廿月	IFMTB	禲
戈火一田土	IFMWG	禋
戈火一田十	IFMWJ	禫
戈火弓金口	IFNCR	䄡
戈火弓火	IFNF	祢
戈火弓竹尸	IFNHS	礽
戈火弓中	IFNL	祁鄬
戈火弓一水	IFNME	禄
戈火弓一山	IFNMU	祪
戈火弓女一	IFNVM	祃
戈火人木戈	IFODI	祔
戈火人竹女	IFOHV	祣
戈火人戈心	IFOIP	䄒
戈火人中中	IFOLL	祄
戈火人一日	IFOMA	禬
戈火人一月	IFOMB	禴
戈火人一口	IFOMR	祫
戈火人一女	IFOMV	䄖
戈火心	IFP	慼憑
戈火心木	IFPD	祂
戈火心竹	IFPH	祕
戈火心戈	IFPI	礿
戈火心人山	IFPOU	祹
戈火心心	IFPP	䃾
戈火心廿	IFPT	䄁
戈火心卜一	IFPYM	鹧
戈火手竹大	IFQHK	禊
戈火手大戈	IFQKI	祷
戈火手大難	IFQKX	䄝
戈火手人	IFQO	䃿
戈火手尸	IFQS	祎
戈火口	IFR	㗤
戈火口竹土	IFRHG	䄇
戈火口竹山	IFRHU	祝
戈火口一大	IFRMK	祦
戈火口人月	IFROB	祸
戈火口口十	IFRRJ	禪
戈火口山	IFRU	祀
戈火口卜人	IFRYO	蹙
戈火尸	IFS	㞝
戈火尸竹口	IFSHR	祒
戈火尸一水	IFSME	祲
戈火尸一一	IFSMM	祤
戈火尸一口	IFSMR	祠
戈火尸手火	IFSQF	禡
戈火廿日	IFTA	䄍
戈火廿金土	IFTCG	禥
戈火廿金田	IFTCW	禉
戈火廿土火	IFTGF	禚
戈火廿土口	IFTGR	𥛶
戈火廿竹大	IFTHK	䄏
戈火廿一金	IFTMC	祺
戈火廿一木	IFTMD	禖
戈火廿手	IFTQ	祥
戈火廿女戈	IFTVI	禌
戈火廿田日	IFTWA	䄚
戈火廿田廿	IFTWT	禮
戈火廿田女	IFTWV	禯
戈火山	IFU	礼
戈火女戈戈	IFVII	禨
戈火女弓水	IFVNE	祿
戈火女弓人	IFVNO	禒
戈火田金水	IFWCE	禝
戈火田木	IFWD	祼
戈火田土	IFWG	𥚃
戈火田十口	IFWJR	祻
戈火田大	IFWK	䄄
戈火田中月	IFWLB	禑
戈火田中一	IFWLM	禤
戈火田心	IFWP	禗
戈火田廿金	IFWTC	禩
戈火卜	IFY	䃼
戈火卜月月	IFYBB	禘
戈火卜月金	IFYBC	禎
戈火卜月人	IFYBO	祯
戈火卜月尸	IFYBS	䄘
戈火卜竹尸	IFYHS	祊
戈火卜中一	IFYLM	祉
戈火卜人十	IFYOJ	祽
戈火卜口月	IFYRB	禞
戈火卜口女	IFYRV	禳
戈火卜廿人	IFYTO	禭
戈火卜山月	IFYUB	䄜
戈火卜田一	IFYWM	䄠
戈火卜難	IFYX	䄢
戈土	IG	庄
戈土月	IGB	膺
戈土月廿	IGBT	䀅
戈土金水	IGCE	庱
戈土木戈	IGDI	庤
戈土水	IGE	㕠
戈土竹日火	IGHAF	鷹
戈土戈	IGI	庒
戈土戈廿	IGIT	廅
戈土十	IGJ	凖
戈土弓中	IGNL	鄽
戈土人田	IGOW	廧
戈土心	IGP	應
戈土尸大	IGSK	廒
戈土廿戈	IGTI	廚
戈土卜竹女	IGYHV	装
戈竹	IH	戊
戈竹日火	IHAF	𩾷
戈竹木金	IHDC	廭
戈竹木心	IHDP	㢉
戈竹木田	IHDW	㢖
戈竹水口	IHER	㦴
戈竹水卜	IHEY	庝
戈竹竹戈	IHHI	螷蠯
戈竹竹十	IHHJ	庳
戈竹竹中	IHHL	㡻
戈竹竹手山	IHHQU	毿
戈竹竹田	IHHW	廇
戈竹戈	IHI	廆戍
戈竹十難	IHJX	㢎
戈竹大月	IHKB	㢗
戈竹中月山	IHLBU	㓄
戈竹中弓	IHLN	剼
戈竹一	IHM	戌
戈竹一月金	IHMBC	䫩
戈竹一火	IHMF	烕
戈竹一中	IHML	庍
戈竹一口	IHMR	咸
戈竹一女	IHMV	威
戈竹人人	IHOO	㢔
戈竹心	IHP	㡯
戈竹心水	IHPE	廏
戈竹心一	IHPM	底
戈竹手	IHQ	牟
戈竹口口	IHRR	㢂
戈竹尸	IHS	成
戈竹尸竹	IHSH	𢦓
戈竹山	IHU	允
戈竹女心	IHVP	㡳
戈竹難水	IHXE	廋
戈竹難人	IHXO	庾
戈竹卜一火	IHYMF	戚
戈戈	II	㕕広㡲戔
戈戈日女	IIAV	㢃
戈戈月	IIB	朗
戈戈月廿	IIBT	盞
戈戈月山	IIBU	䁉
戈戈月卜十	IIBYJ	斚
戈戈火	IIF	㷱
戈戈戈	III	厽
戈戈戈木	IIID	㕖
戈戈戈火	IIIF	㕘絫
戈戈戈土	IIIG	垒
戈戈戈竹	IIIH	參
戈戈戈中	IIIL	廊
戈戈戈一	IIIM	叄
戈戈戈心	IIIP	叅
戈戈十月	IIJB	庯
戈戈大心	IIKP	庞
戈戈中弓	IILN	剆剗
戈戈中手	IILQ	肈
戈戈一	IIM	㦯
戈戈弓中	IINL	郎䣌
戈戈弓人	IINO	欴
戈戈人月人	IIOBO	腐
戈戈口日山	IIRAU	郒
戈戈尸	IIS	庐
戈戈山竹	IIUH	庬
戈戈女水	IIVE	废
戈戈女戈火	IIVIF	䋯
戈戈難心	IIXP	廘
戈戈卜心山	IIYPU	虦
戈十	IJ	戎
戈十月	IJB	甫
戈十月廿	IJBT	盏
戈十金	IJC	朮
戈十金金	IJCC	麻
戈十木木	IJDD	䢄
戈十水	IJE	庋求
戈十火水	IJFE	廀
戈十十月	IJJB	廟
戈十十弓	IJJN	㐣
戈十十心	IJJP	廤
戈十大木	IJKD	庨
戈十中弓	IJLN	刬
戈十田十	IJWJ	庫
戈大	IK	义庆犬
戈大月	IKB	䏿
戈大月山	IKBU	䁈
戈大月山金	IKBUC	貵
戈大木	IKD	𣘼
戈大竹日火	IKHAF	䳊
戈大竹竹竹	IKHHH	参
戈大竹弓戈	IKHNI	飆
戈大竹弓大	IKHNK	飙
戈大戈大	IKIK	㹜
戈大戈大大	IKIKK	猋
戈大十田十	IKJWJ	軬
戈大大	IKK	犮
戈大中手	IKLQ	𦘦
戈大中山	IKLU	庵
戈大一土	IKMG	𤨣
戈大一一一	IKMMM	叁
戈大一口	IKMR	㢊
戈大弓火	IKNF	為
戈大弓人	IKNO	欸
戈大人心	IKOP	㥷
戈大心	IKP	慦龙
戈大心月	IKPB	廗
戈大手	IKQ	库
戈大口	IKR	啓
戈大口一	IKRM	彧
戈大尸戈	IKSI	为
戈大山	IKU	尤
戈大田	IKW	畚
戈大卜水	IKYE	㪐
戈中月	ILB	庸
戈中水	ILE	康
戈中土	ILG	𡏅
戈中戈中	ILIL	州
戈中中一戈	ILLMI	䗝
戈中一人	ILMO	庣
戈中一卜	ILMY	䨾
戈中弓	ILN	划
戈中人	ILO	庚
戈中人月	ILOB	𢉼
戈中人金	ILOC	賡
戈中人人	ILOO	赓
戈中手	ILQ	㡽
戈中口	ILR	唐
戈中尸	ILS	门
戈中田	ILW	庙
戈中田心	ILWP	㡼曵
戈中田女	ILWV	廔
戈一	IM	冫
戈一月日金	IMBAC	凕
戈一月金口	IMBCR	㓏
戈一月土口	IMBGR	凋
戈一月一口	IMBMR	㓊
戈一月尸木	IMBSD	凈
戈一金	IMC	凎剢
戈一金田	IMCW	庮
戈一木	IMD	㡰
戈一木金戈	IMDCI	凇
戈一木木火	IMDDF	凚
戈一木大	IMDK	决
戈一木中	IMDL	凁
戈一木田	IMDW	凍
戈一水	IME	冰㳼
戈一火手	IMFQ	冸
戈一土金水	IMGCE	凌
戈一土金土	IMGCG	㓐
戈一土廿	IMGT	㢅
戈一土廿十	IMGTJ	㓑
戈一土田金	IMGWC	凟
戈一竹土山	IMHGU	冼
戈一竹竹戈	IMHHI	㓔
戈一竹十口	IMHJR	㓉
戈一竹大	IMHK	㓇
戈一竹山戈	IMHUI	䰥
戈一戈金水	IMICE	𠗕
戈一戈木手	IMIDQ	𠘚
戈一戈土	IMIG	庢㦶
戈一戈竹火	IMIHF	㓕
戈一戈竹口	IMIHR	减
戈一戈大大	IMIKK	冹
戈一戈口	IMIR	冶
戈一十月十	IMJBJ	㓓
戈一十中女	IMJLV	凄
戈一大木	IMKD	冻
戈一大山	IMKU	庑
戈一中	IML	冲丬
戈一中手	IMLQ	冿
戈一一	IMM	冮
戈一一土戈	IMMGI	鿑𤦂
戈一一一口	IMMMR	𠗐
戈一一弓	IMMN	㓅
戈一一弓弓	IMMNN	冽
戈一一心	IMMP	廲
戈一一口	IMMR	㓈
戈一一女竹	IMMVH	冴
戈一一女一	IMMVM	冱𠗊
戈一一田木	IMMWD	凓
戈一一田土	IMMWG	凐
戈一弓	IMN	庁
戈一弓日山	IMNAU	凂
戈一弓月大	IMNBK	𠗫
戈一弓木廿	IMNDT	𠗠
戈一弓人	IMNO	次㰲
戈一弓尸木	IMNSD	净
戈一弓山戈	IMNUI	𠗟
戈一弓女一	IMNVM	冯
戈一人土	IMOG	准
戈一人戈戈	IMOII	冷
戈一人戈口	IMOIR	凔
戈一人戈女	IMOIV	飡
戈一人一木	IMOMD	凃
戈一人一土	IMOMG	㓌
戈一人一口	IMOMR	冾
戈一人心	IMOP	㓆
戈一心	IMP	惑
戈一心竹竹	IMPHH	𠖳
戈一心大人	IMPKO	凝
戈一手竹火	IMQHF	㓗
戈一手大大	IMQKK	凑
