日	A	日曰
日弓	AN	門
日弓日	ANA	間
日弓日日	ANAA	閶
日弓日一	ANAM	䦔
日弓日弓	ANAN	闁
日弓日心女	ANAPV	䦪
日弓日尸一	ANASM	闒
日弓日山	ANAU	冕晚
日弓日女	ANAV	䦘
日弓日卜大	ANAYK	閺
日弓月	ANB	閒
日弓月月水	ANBBE	閿
日弓月金大	ANBCK	闝
日弓月大	ANBK	㬇
日弓月山金	ANBUC	閴
日弓月山水	ANBUE	闅䦩
日弓月山大	ANBUK	闃
日弓金	ANC	䦦
日弓金口	ANCR	曕
日弓金口山	ANCRU	閱
日弓木	AND	㫗閑
日弓木木	ANDD	䦥
日弓木竹	ANDH	閉
日弓木大	ANDK	䦑
日弓木一手	ANDMQ	闈
日弓木田	ANDW	䦨
日弓木田火	ANDWF	闌
日弓水	ANE	閖
日弓水水水	ANEEE	䦤
日弓水火竹	ANEFH	閯
日弓水土戈	ANEGI	䦢
日弓水竹口	ANEHR	闊
日弓水一土	ANEMG	䦞
日弓火	ANF	焛𨳒
日弓火月土	ANFBG	闛
日弓火月田	ANFBW	闣
日弓火手山	ANFQU	闂
日弓土	ANG	䦌
日弓土木戈	ANGDI	䦙
日弓土土	ANGG	閨
日弓土戈廿	ANGIT	闔
日弓土中金	ANGLC	䦝
日弓土口	ANGR	䦖
日弓竹	ANH	閁
日弓竹日水	ANHAE	闎
日弓竹月廿	ANHBT	䦗
日弓竹木日	ANHDA	䦭
日弓竹水	ANHE	昅
日弓竹水口	ANHER	閣
日弓竹十口	ANHJR	䦚
日弓竹弓戈	ANHNI	闏
日弓竹心日	ANHPA	閽
日弓竹手山	ANHQU	閐
日弓竹山木	ANHUD	闑
日弓竹難	ANHX	閰
日弓竹難竹	ANHXH	𨉖
日弓竹難山	ANHXU	䦧
日弓戈日女	ANIAV	閬
日弓戈月心	ANIBP	𨶙
日弓戈大火	ANIKF	䦱
日弓戈手	ANIQ	曻
日弓戈口	ANIR	㫥
日弓戈口大	ANIRK	闙
日弓戈口一	ANIRM	閾
日弓戈廿	ANIT	閞
日弓十月金	ANJBC	闐
日弓十大日	ANJKA	闍
日弓十口口	ANJRR	䦡
日弓十田十	ANJWJ	閳
日弓大火	ANKF	㬠
日弓大戈	ANKI	閎
日弓大中山	ANKLU	閹
日弓大弓	ANKN	𨳊
日弓中一金	ANLMC	闠
日弓中一戈	ANLMI	閩
日弓一	ANM	閂
日弓一金田	ANMCW	閪
日弓一火月	ANMFB	䦵
日弓一火十	ANMFJ	閛
日弓一土	ANMG	閏
日弓一土戈	ANMGI	閠
日弓一土大	ANMGK	䦯
日弓一十	ANMJ	閈
